CUSTOMER_ID,CREATION_DATE,REGIONAL_CODE,ORIGIN
"AB00992367",2003-02-22,41,"WEB"
"AB01019739",2003-02-24,15,"WEB"
"AB01019940",2008-12-06,14,"WEB"
"AB01050230",2003-12-16,9,"WEB"
"AB01052947",2002-02-09,53,"WEB"
"AB01053149",2010-11-22,66,"PHONE"
"AB01077602",2008-03-23,7,"WEB"
"AB01110810",2008-03-25,37,"WEB"
"AB01185177",2011-01-22,23,"STORE"
"AB01221102",2012-01-26,63,"WEB"
"AB01397811",2003-08-16,24,"WEB"
"AB01973926",2016-10-03,81,"WEB"
"AB02464604",2016-05-01,20,"STORE"
"AB02690622",2012-09-25,47,"WEB"
"AB03633740",2017-08-20,46,"WEB"
"AB03650243",2015-09-04,12,"PHONE"
"AB04083260",2018-01-14,36,"STORE"
"AB04185401",2015-02-25,27,"WEB"
"AB04215691",2018-02-13,42,"STORE"
"AB04229276",2017-02-24,3,"PHONE"
"AB04753365",2017-08-23,61,"PHONE"
"AC00312916",2005-01-13,11,"WEB"
"AC00313117",2003-10-12,11,"WEB"
"AC00324187",2003-03-20,36,"WEB"
"AC00351558",2007-10-31,20,"WEB"
"AC00351760",2004-02-28,3,"STORE"
"AC00395635",2004-08-29,13,"WEB"
"AC00395836",2009-12-21,13,"WEB"
"AC00404189",2001-01-05,23,"WEB"
"AC00406704",2004-02-08,42,"WEB"
"AC00429045",2004-10-29,47,"WEB"
"AC00748650",2011-05-02,6,"WEB"
"AC00790009",2015-05-13,23,"WEB"
"AC00795645",2010-09-01,37,"WEB"
"AC00825733",2008-02-02,71,"WEB"
"AC00969234",2010-08-01,32,"WEB"
"AC00969435",2013-05-17,64,"WEB"
"AC00994090",2005-08-17,41,"WEB"
"AC01018946",2012-02-02,34,"WEB"
"AC01049437",2002-03-26,7,"WEB"
"AC01068456",2011-01-30,56,"WEB"
"AC01209038",2015-01-06,33,"WEB"
"AC01324966",2014-02-05,34,"STORE"
"AC01347105",2013-02-18,10,"STORE"
"AC01446126",2016-03-06,25,"WEB"
"AC01523411",2016-03-24,4,"PHONE"
"AC01898565",2015-09-08,66,"WEB"
"AC02204383",2017-01-11,13,"STORE"
"AC02615463",2013-08-31,14,"STORE"
"AC02634885",2013-09-05,71,"STORE"
"AC02692546",2017-08-24,47,"STORE"
"AC02755843",2017-09-18,40,"STORE"
"AC02849833",2016-11-11,12,"WEB"
"AC03216433",2016-02-27,71,"STORE"
"AC03768095",2013-10-17,9,"PHONE"
"AC04181690",2014-03-02,30,"PHONE"
"AC04247905",2014-03-20,42,"PHONE"
"AC04308485",2016-03-22,12,"WEB"
"AC04459935",2014-05-09,47,"WEB"
"AC04683438",2019-07-23,4,"STORE"
"AC04724596",2014-09-04,18,"PHONE"
"AC04917607",2016-10-06,1,"STORE"
"AC05028100",2014-12-14,48,"PHONE"
"AD00312122",2005-10-13,11,"STORE"
"AD00339494",2005-05-23,21,"WEB"
"AD00353280",2003-01-16,3,"WEB"
"AD00353482",2004-01-31,3,"WEB"
"AD00361633",2004-04-13,48,"WEB"
"AD00394841",2004-08-27,13,"WEB"
"AD00402992",2001-06-03,30,"WEB"
"AD00405911",2005-01-07,23,"WEB"
"AD00414263",2002-02-22,57,"WEB"
"AD00422414",2005-02-01,36,"WEB"
"AD00425131",2003-03-31,47,"STORE"
"AD00670571",2010-02-20,14,"WEB"
"AD00959886",2014-08-30,36,"WEB"
"AD00993095",2005-07-24,41,"WEB"
"AD01018152",2007-10-17,34,"WEB"
"AD01056593",2003-01-19,43,"WEB"
"AD01062027",2004-04-22,33,"WEB"
"AD01067663",2001-01-23,58,"WEB"
"AD01078732",2012-04-25,49,"WEB"
"AD01100670",2006-02-01,35,"WEB"
"AD01108821",2005-10-03,28,"WEB"
"AD01109022",2003-05-26,28,"WEB"
"AD01310386",2015-12-06,53,"WEB"
"AD01398337",2005-03-04,64,"WEB"
"AD01398539",2003-01-08,64,"WEB"
"AD01883582",2014-09-07,23,"STORE"
"AD02303014",2017-02-16,49,"WEB"
"AD02564957",2017-07-23,27,"WEB"
"AD02834850",2014-11-05,26,"WEB"
"AD02939708",2012-12-30,24,"STORE"
"AD02948262",2016-12-10,51,"STORE"
"AD02978552",2014-12-31,37,"WEB"
"AD03052717",2013-01-29,13,"WEB"
"AD03193501",2014-03-04,41,"STORE"
"AD03334284",2017-04-02,47,"STORE"
"AD03477583",2014-07-26,69,"STORE"
"AD03480300",2013-08-02,17,"STORE"
"AD04266131",2019-02-20,49,"PHONE"
"AD04268646",2018-02-26,34,"STORE"
"AD04483796",2014-05-15,71,"STORE"
"AD04624580",2016-07-22,74,"STORE"
"AD04668656",2017-07-30,11,"WEB"
"AD05010400",2017-11-20,41,"PHONE"
"AE00324914",2002-04-27,1,"WEB"
"AE00325116",2005-01-05,1,"WEB"
"AE00344135",2005-09-27,21,"WEB"
"AE00435206",2004-02-16,50,"WEB"
"AE00780070",2006-04-05,7,"WEB"
"AE00983949",2004-01-12,22,"WEB"
"AE00992302",2005-11-04,41,"WEB"
"AE01028026",2003-02-23,4,"WEB"
"AE01077738",2012-03-01,55,"WEB"
"AE01110745",2006-04-29,37,"WEB"
"AE01110946",2011-02-22,28,"WEB"
"AE01121613",2001-02-27,18,"WEB"
"AE01221238",2012-01-30,49,"WEB"
"AE01254245",2016-01-11,11,"STORE"
"AE01325895",2014-02-05,17,"STORE"
"AE01356185",2012-02-27,6,"STORE"
"AE01397343",2004-11-23,24,"WEB"
"AE01400463",2012-03-12,36,"STORE"
"AE01461043",2014-03-22,13,"WEB"
"AE02130946",2014-12-28,7,"STORE"
"AE02197161",2017-01-09,39,"WEB"
"AE02274446",2013-03-03,19,"STORE"
"AE02406676",2017-03-28,10,"WEB"
"AE02528037",2012-08-05,50,"STORE"
"AE02533673",2015-07-23,10,"WEB"
"AE02944349",2017-12-03,35,"STORE"
"AE03540087",2018-07-22,15,"PHONE"
"AE03653096",2016-08-31,34,"STORE"
"AE04055420",2018-01-07,42,"WEB"
"AE04447279",2016-04-22,37,"WEB"
"AE04623585",2018-07-10,60,"PHONE"
"AE05061835",2018-12-03,43,"PHONE"
"AE05062036",2019-11-28,29,"WEB"
"AF00313051",2003-01-26,11,"WEB"
"AF00332272",2007-02-01,1,"STORE"
"AF00351492",2007-05-09,20,"WEB"
"AF00367996",2008-06-17,25,"WEB"
"AF00403921",2004-12-31,30,"WEB"
"AF00404123",2002-11-19,36,"WEB"
"AF00406638",2006-02-27,42,"WEB"
"AF00406840",2006-09-03,42,"WEB"
"AF00417909",2007-01-29,54,"STORE"
"AF00425859",2005-05-09,17,"WEB"
"AF00428777",2001-12-17,47,"WEB"
"AF00434211",2008-10-21,57,"WEB"
"AF00795579",2012-04-10,37,"PHONE"
"AF00825869",2014-01-27,71,"STORE"
"AF00831504",2009-07-26,49,"WEB"
"AF00969369",2014-12-10,32,"WEB"
"AF01013244",2003-05-21,7,"WEB"
"AF01027031",2014-09-23,60,"STORE"
"AF01048968",2005-03-21,22,"WEB"
"AF01049170",2013-09-08,7,"WEB"
"AF01062755",2004-01-13,45,"WEB"
"AF01062956",2009-01-25,33,"WEB"
"AF01068592",2009-08-22,59,"WEB"
"AF01109750",2003-05-19,13,"WEB"
"AF01393631",2005-10-04,38,"STORE"
"AF01396751",2014-02-27,62,"STORE"
"AF01476350",2016-03-14,1,"STORE"
"AF01509760",2015-03-30,69,"WEB"
"AF01688984",2011-07-25,25,"WEB"
"AF01829365",2015-08-15,17,"STORE"
"AF02050150",2014-12-03,3,"STORE"
"AF02165876",2016-12-28,25,"WEB"
"AF02295389",2013-03-10,19,"PHONE"
"AF02312094",2017-02-20,40,"STORE"
"AF02499671",2015-06-06,31,"STORE"
"AF02709185",2012-09-29,23,"STORE"
"AF02940637",2015-12-13,8,"WEB"
"AF03301803",2017-03-24,50,"STORE"
"AF03549960",2018-07-24,20,"PHONE"
"AF03781614",2015-10-08,65,"STORE"
"AF03878321",2014-12-13,30,"WEB"
"AF03941618",2016-12-15,40,"PHONE"
"AF03947253",2017-12-10,41,"STORE"
"AF04357728",2016-04-01,4,"PHONE"
"AF04589583",2015-06-21,16,"PHONE"
"AF04592300",2018-06-09,35,"STORE"
"AF04840256",2014-09-29,64,"STORE"
"AF04865112",2017-09-17,41,"STORE"
"AF04914824",2014-10-19,23,"PHONE"
"AG00339428",2006-07-26,36,"WEB"
"AG00339630",2003-04-24,21,"WEB"
"AG00355932",2008-04-20,3,"STORE"
"AG00361567",2003-02-12,48,"PHONE"
"AG00361769",2002-02-08,8,"WEB"
"AG00369718",2010-02-27,48,"STORE"
"AG00386625",2004-02-07,16,"WEB"
"AG00392059",2008-09-10,10,"WEB"
"AG00403128",2004-11-19,30,"WEB"
"AG00414198",2005-03-07,8,"WEB"
"AG00422147",2005-06-07,36,"WEB"
"AG00422349",2001-02-24,36,"WEB"
"AG00755740",2009-05-11,17,"PHONE"
"AG00786433",2009-10-04,30,"STORE"
"AG00830510",2013-05-02,55,"STORE"
"AG00993029",2001-02-24,41,"WEB"
"AG01009734",2011-10-18,54,"WEB"
"AG01040024",2005-12-08,46,"WEB"
"AG01050892",2004-04-19,26,"STORE"
"AG01062163",2007-06-27,33,"WEB"
"AG01067396",2005-01-25,59,"WEB"
"AG01108755",2003-09-12,28,"WEB"
"AG01108957",2001-02-07,28,"WEB"
"AG02242167",2015-02-05,39,"STORE"
"AG02291879",2017-02-12,22,"STORE"
"AG02379830",2014-04-04,42,"PHONE"
"AG02710908",2014-09-22,70,"STORE"
"AG03717121",2014-09-28,60,"PHONE"
"AG03775185",2013-10-19,36,"WEB"
"AG04274418",2016-03-13,52,"STORE"
"AG04563733",2016-05-30,6,"STORE"
"AG04980045",2014-11-13,33,"STORE"
"AG04994033",2018-11-04,21,"WEB"
"AH00297074",2003-02-01,6,"WEB"
"AH00344270",2003-06-14,21,"WEB"
"AH00352220",2009-09-19,3,"WEB"
"AH00352421",2010-03-22,3,"WEB"
"AH00357855",2012-02-06,3,"WEB"
"AH00360774",2003-05-23,48,"WEB"
"AH00421152",2001-06-06,36,"WEB"
"AH00429505",2003-05-04,27,"WEB"
"AH00429706",2003-01-12,31,"WEB"
"AH00435140",2001-01-24,50,"WEB"
"AH00881742",2004-05-02,4,"WEB"
"AH00983883",2008-07-30,62,"WEB"
"AH01019607",2010-09-28,15,"WEB"
"AH01039029",2010-11-27,36,"WEB"
"AH01049897",2001-04-12,9,"WEB"
"AH01050099",2015-01-20,9,"STORE"
"AH01077672",2008-05-27,55,"WEB"
"AH01121547",2005-10-09,18,"STORE"
"AH01242908",2008-02-29,75,"WEB"
"AH01405831",2016-02-17,52,"STORE"
"AH01482914",2014-03-28,25,"STORE"
"AH01507569",2012-04-16,10,"STORE"
"AH01626213",2014-05-08,32,"STORE"
"AH01764078",2013-08-16,54,"STORE"
"AH02299236",2014-03-06,4,"STORE"
"AH02406610",2015-04-09,14,"STORE"
"AH02478461",2015-05-15,18,"STORE"
"AH02492046",2017-05-14,49,"WEB"
"AH02508549",2014-07-15,13,"STORE"
"AH02577482",2015-08-07,56,"STORE"
"AH02582916",2016-08-02,36,"WEB"
"AH03288744",2015-04-02,35,"STORE"
"AH03578261",2018-07-31,35,"PHONE"
"AH04011278",2016-01-08,30,"WEB"
"AH04143507",2017-02-04,36,"PHONE"
"AH04207207",2014-03-08,36,"PHONE"
"AH04231862",2019-02-12,1,"PHONE"
"AH04631872",2015-08-01,46,"PHONE"
"AH04819247",2014-09-25,49,"WEB"
"AH04882544",2018-09-16,71,"PHONE"
"AI00312986",2007-04-17,11,"WEB"
"AI00321137",2005-09-19,11,"WEB"
"AI00367930",2005-02-23,25,"WEB"
"AI00370849",2011-02-16,61,"WEB"
"AI00387352",2009-08-16,20,"STORE"
"AI00395503",2003-03-25,13,"WEB"
"AI00406774",2005-03-22,23,"WEB"
"AI00425995",2005-05-30,17,"WEB"
"AI00434347",2004-04-04,57,"WEB"
"AI00751235",2010-09-22,36,"WEB"
"AI00770657",2013-05-11,47,"WEB"
"AI00839388",2007-08-18,58,"WEB"
"AI00985606",2007-08-02,69,"WEB"
"AI01013380",2010-04-10,7,"WEB"
"AI01018814",2004-02-24,34,"WEB"
"AI01026965",2002-01-11,60,"WEB"
"AI01068325",2005-10-15,56,"STORE"
"AI01101533",2005-06-15,63,"STORE"
"AI01365992",2014-02-16,62,"STORE"
"AI02430270",2015-04-22,48,"STORE"
"AI03475528",2016-07-10,6,"STORE"
"AI03489315",2013-08-05,20,"STORE"
"AI03508737",2014-08-05,9,"WEB"
"AI03514171",2015-08-03,60,"PHONE"
"AI03585820",2016-08-12,33,"STORE"
"AI03593971",2016-08-17,50,"PHONE"
"AI04059995",2018-01-08,18,"WEB"
"AI04266994",2014-03-23,50,"PHONE"
"AI04300001",2015-03-27,11,"PHONE"
"AI04495729",2019-04-15,47,"STORE"
"AI04550875",2019-05-06,5,"PHONE"
"AI04608738",2015-07-22,31,"PHONE"
"AI04691457",2016-08-12,23,"WEB"
"AI04697093",2014-08-28,60,"PHONE"
"AI04936696",2019-09-24,7,"STORE"
"AJ00311789",2002-12-09,14,"WEB"
"AJ00311991",2003-03-22,30,"WEB"
"AJ00336645",2009-06-05,11,"WEB"
"AJ00336847",2010-04-11,11,"STORE"
"AJ00339362",2001-01-05,36,"WEB"
"AJ00339564",2002-01-09,21,"WEB"
"AJ00344998",2007-03-09,21,"WEB"
"AJ00353149",2007-07-17,3,"STORE"
"AJ00367137",2013-08-16,25,"WEB"
"AJ00394508",2003-08-03,13,"WEB"
"AJ00394710",2001-12-30,13,"WEB"
"AJ00403062",2007-03-25,30,"WEB"
"AJ00405578",2012-12-02,23,"WEB"
"AJ00413930",2009-04-06,8,"PHONE"
"AJ00422081",2005-02-26,36,"WEB"
"AJ00435868",2006-09-01,15,"WEB"
"AJ00772178",2015-02-18,36,"WEB"
"AJ00783449",2013-09-24,13,"WEB"
"AJ00971026",2014-09-09,47,"WEB"
"AJ00992963",2003-03-15,41,"WEB"
"AJ01053543",2001-05-17,71,"WEB"
"AJ01053745",2006-07-28,71,"PHONE"
"AJ01061694",2003-10-09,4,"WEB"
"AJ01067531",2003-05-15,59,"WEB"
"AJ01078399",2010-03-15,49,"WEB"
"AJ01108689",2015-12-02,63,"WEB"
"AJ01175106",2015-12-21,17,"STORE"
"AJ01398206",2003-12-12,75,"WEB"
"AJ01398407",2003-02-27,64,"WEB"
"AJ01936081",2011-10-15,61,"STORE"
"AJ01993944",2011-11-19,36,"STORE"
"AJ02131809",2015-12-22,48,"STORE"
"AJ02139960",2014-01-07,26,"STORE"
"AJ02208892",2017-01-12,5,"WEB"
"AJ02308115",2015-03-04,46,"WEB"
"AJ02316467",2015-03-05,45,"STORE"
"AJ02346757",2015-03-20,50,"STORE"
"AJ02691621",2014-09-12,41,"STORE"
"AJ02696854",2013-09-21,53,"STORE"
"AJ03198803",2015-03-02,11,"PHONE"
"AJ03220741",2016-02-28,13,"STORE"
"AJ03295309",2018-03-14,1,"STORE"
"AJ03427538",2013-06-07,77,"PHONE"
"AJ03625983",2016-08-21,1,"STORE"
"AJ04036861",2017-01-08,13,"WEB"
"AJ04229872",2017-02-24,42,"PHONE"
"AJ04254930",2018-02-24,3,"PHONE"
"AJ04332013",2019-03-10,47,"WEB"
"AJ04486382",2018-04-20,51,"PHONE"
"AJ04566585",2015-06-07,17,"STORE"
"AJ04571818",2014-06-15,50,"STORE"
"AJ04607743",2016-07-15,52,"PHONE"
"AJ04668525",2018-07-24,10,"STORE"
"AJ04930267",2015-10-18,40,"STORE"
"AK00344205",2011-08-09,21,"WEB"
"AK00352154",2002-09-17,3,"WEB"
"AK00352356",2005-01-18,3,"WEB"
"AK00396231",2010-03-20,13,"WEB"
"AK00401866",2003-04-25,30,"WEB"
"AK00402068",2005-01-23,30,"WEB"
"AK00404785",2005-12-15,23,"WEB"
"AK00429641",2011-08-27,31,"WEB"
"AK00435075",2002-08-25,50,"PHONE"
"AK00716440",2012-12-14,64,"WEB"
"AK00983818",2007-05-14,65,"WEB"
"AK00992170",2002-07-27,4,"WEB"
"AK01019542",2006-12-12,15,"WEB"
"AK01038762",2013-10-27,19,"PHONE"
"AK01069052",2013-11-28,64,"WEB"
"AK01110412",2005-03-31,37,"WEB"
"AK01110613",2004-01-02,37,"WEB"
"AK01171193",2012-01-15,37,"STORE"
"AK01234490",2011-02-07,28,"STORE"
"AK01397211",2004-06-12,24,"WEB"
"AK02009453",2012-12-02,3,"STORE"
"AK02392758",2012-04-22,11,"STORE"
"AK02414897",2015-04-12,20,"STORE"
"AK02819938",2015-10-23,47,"WEB"
"AK03098586",2015-01-29,42,"STORE"
"AK03393537",2016-05-04,12,"WEB"
"AK03639178",2013-09-15,62,"STORE"
"AK04077226",2018-01-13,20,"STORE"
"AK04124221",2015-02-11,26,"PHONE"
"AK04184801",2017-02-12,22,"STORE"
"AK04256652",2016-03-08,4,"STORE"
"AK04295295",2015-03-24,44,"WEB"
"AK04309081",2015-03-29,60,"PHONE"
"AK04587327",2015-06-17,62,"STORE"
"AK04587528",2018-05-29,44,"PHONE"
"AK04606749",2016-07-14,8,"STORE"
"AK04645593",2017-07-23,30,"WEB"
"AK04932191",2018-09-29,1,"WEB"
"AK05009476",2014-12-08,53,"PHONE"
"AK05047917",2019-11-21,52,"PHONE"
"AL00312718",2002-02-01,11,"WEB"
"AL00312920",2006-03-31,11,"WEB"
"AL00395437",2002-02-18,13,"WEB"
"AL00406507",2011-02-20,23,"WEB"
"AL00409425",2007-10-11,23,"WEB"
"AL00414658",2005-04-17,57,"WEB"
"AL00423212",2008-12-30,30,"WEB"
"AL00425929",2003-02-11,17,"WEB"
"AL00434080",2003-01-07,50,"WEB"
"AL00450583",2004-09-15,68,"PHONE"
"AL00696023",2012-09-19,12,"WEB"
"AL00924960",2011-08-29,48,"WEB"
"AL00968835",2009-09-18,5,"WEB"
"AL00985338",2013-09-25,70,"WEB"
"AL00993691",2005-03-18,41,"WEB"
"AL00993892",2002-05-24,41,"WEB"
"AL01018547",2007-08-05,22,"WEB"
"AL01026899",2016-01-12,44,"STORE"
"AL01054271",2004-09-24,53,"WEB"
"AL01062825",2009-10-16,33,"WEB"
"AL01068259",2005-11-07,56,"WEB"
"AL01101266",2003-12-26,63,"WEB"
"AL01109417",2006-01-28,13,"WEB"
"AL01393499",2006-03-03,38,"STORE"
"AL01393701",2003-12-05,38,"STORE"
"AL01520295",2012-04-21,42,"STORE"
"AL01550585",2012-04-30,11,"STORE"
"AL02755847",2016-09-24,42,"WEB"
"AL02901863",2015-12-03,65,"STORE"
"AL03136032",2015-02-11,31,"WEB"
"AL03163807",2017-02-06,3,"WEB"
"AL03213317",2016-02-27,60,"STORE"
"AL03216236",2013-03-18,17,"WEB"
"AL03285168",2016-03-25,24,"STORE"
"AL03287684",2013-04-13,49,"STORE"
"AL03353899",2017-04-11,17,"STORE"
"AL03610409",2014-09-02,59,"WEB"
"AL03720701",2018-09-04,41,"STORE"
"AL03993714",2016-01-05,41,"STORE"
"AL04010217",2017-12-26,54,"STORE"
"AL04231003",2015-03-10,4,"PHONE"
"AL04316237",2016-03-23,30,"STORE"
"AL04341093",2016-03-29,19,"PHONE"
"AL04503814",2017-04-30,24,"WEB"
"AL04509248",2018-04-27,58,"STORE"
"AL04561879",2016-05-27,44,"STORE"
"AL04644598",2015-08-04,51,"STORE"
"AL04713329",2016-08-18,5,"STORE"
"AL04735468",2015-08-31,30,"WEB"
"AL04862263",2018-09-11,30,"WEB"
"AL04966920",2017-10-18,29,"STORE"
"AL05022267",2015-12-07,16,"PHONE"
"AM00311925",2004-09-28,14,"WEB"
"AM00339297",2003-10-10,36,"WEB"
"AM00339498",2001-05-20,21,"WEB"
"AM00361234",2006-12-30,48,"WEB"
"AM00369587",2011-07-10,48,"STORE"
"AM00391726",2005-10-03,10,"WEB"
"AM00394443",2011-02-25,13,"WEB"
"AM00402795",2014-04-14,30,"WEB"
"AM00405512",2005-08-12,23,"WEB"
"AM00419299",2011-11-05,54,"WEB"
"AM00422217",2004-07-17,36,"WEB"
"AM00455023",2004-12-14,68,"WEB"
"AM00455224",2009-01-12,68,"WEB"
"AM00763961",2014-10-29,19,"STORE"
"AM00838529",2005-07-31,59,"PHONE"
"AM00984545",2003-03-16,70,"WEB"
"AM00992898",2006-01-08,41,"WEB"
"AM01050559",2004-12-12,9,"WEB"
"AM01050761",2001-05-13,26,"STORE"
"AM01067466",2011-04-12,59,"WEB"
"AM01241055",2008-05-15,24,"STORE"
"AM01398140",2010-04-24,75,"STORE"
"AM01615806",2014-05-04,60,"STORE"
"AM01753671",2012-08-18,30,"PHONE"
"AM01957751",2013-10-11,4,"STORE"
"AM02324553",2015-03-08,13,"PHONE"
"AM02338339",2013-03-30,15,"PHONE"
"AM02625340",2012-09-09,12,"WEB"
"AM03005727",2017-12-18,36,"PHONE"
"AM03190385",2013-03-10,60,"PHONE"
"AM03408252",2016-05-08,27,"STORE"
"AM03471751",2015-07-15,28,"STORE"
"AM03524180",2015-08-05,3,"WEB"
"AM03584760",2016-08-12,6,"PHONE"
"AM03711555",2018-09-02,34,"PHONE"
"AM03821847",2015-10-20,59,"PHONE"
"AM03876993",2017-11-22,20,"STORE"
"AM04133503",2014-02-21,47,"WEB"
"AM04524757",2015-05-19,30,"WEB"
"AM04541462",2019-04-30,1,"PHONE"
"AM04720687",2019-08-01,50,"STORE"
"AM04864187",2015-09-29,48,"STORE"
"AN00297144",2005-07-22,6,"STORE"
"AN00310930",2007-12-13,2,"WEB"
"AN00338302",2004-04-04,36,"WEB"
"AN00338503",2005-05-05,36,"WEB"
"AN00352088",2004-08-28,3,"WEB"
"AN00390932",2011-08-04,19,"PHONE"
"AN00407234",2009-01-15,23,"WEB"
"AN00410153",2011-09-17,23,"WEB"
"AN00435009",2001-04-15,50,"WEB"
"AN00751897",2015-04-12,31,"WEB"
"AN00768400",2014-08-03,5,"PHONE"
"AN00784904",2013-05-10,1,"WEB"
"AN00785105",2014-11-24,11,"WEB"
"AN00983752",2002-08-27,65,"WEB"
"AN01008406",2005-03-12,52,"WEB"
"AN01019476",2004-11-19,34,"WEB"
"AN01049967",2012-02-28,9,"STORE"
"AN01101993",2010-09-14,78,"STORE"
"AN01137919",2011-12-27,2,"STORE"
"AN01557149",2016-04-06,40,"STORE"
"AN01968027",2013-10-16,28,"PHONE"
"AN02455989",2014-05-09,23,"STORE"
"AN02461423",2014-05-12,44,"WEB"
"AN02651717",2013-09-09,50,"STORE"
"AN03247455",2015-03-17,40,"STORE"
"AN03724347",2013-10-06,11,"STORE"
"AN03768423",2013-10-17,51,"PHONE"
"AN04212308",2014-03-09,64,"STORE"
"AN04339305",2015-04-05,38,"WEB"
"AN04377746",2016-04-06,20,"WEB"
"AN04443962",2017-04-15,52,"STORE"
"AN04656395",2019-07-15,13,"PHONE"
"AN04821631",2015-09-19,13,"WEB"
"AN04965333",2015-10-29,8,"STORE"
"AO00312653",2003-10-22,11,"WEB"
"AO00318288",2004-06-08,11,"WEB"
"AO00329358",2007-10-12,1,"WEB"
"AO00387019",2007-09-21,16,"STORE"
"AO00395170",2004-03-29,13,"WEB"
"AO00403523",2010-06-13,30,"WEB"
"AO00414592",2012-04-10,57,"WEB"
"AO00414794",2010-08-13,57,"WEB"
"AO00422743",2004-03-06,11,"WEB"
"AO00425662",2004-11-27,17,"WEB"
"AO00751104",2015-02-09,36,"STORE"
"AO00759255",2015-03-15,23,"WEB"
"AO00792463",2004-10-07,28,"WEB"
"AO00891686",2011-08-21,68,"WEB"
"AO00966052",2011-09-27,3,"WEB"
"AO00968971",2003-05-14,32,"WEB"
"AO00985273",2002-02-25,70,"WEB"
"AO00985474",2004-03-03,62,"WEB"
"AO00993827",2004-03-10,41,"WEB"
"AO01026632",2013-12-26,4,"PHONE"
"AO01040419",2010-11-01,46,"WEB"
"AO01040620",2006-06-10,46,"WEB"
"AO01054205",2003-07-26,53,"WEB"
"AO01067992",2004-01-10,56,"WEB"
"AO01101200",2004-01-14,63,"STORE"
"AO01393434",2003-02-06,38,"WEB"
"AO01451498",2012-04-01,13,"STORE"
"AO01718876",2011-08-11,50,"STORE"
"AO01881597",2013-09-12,47,"STORE"
"AO02002757",2015-11-10,3,"STORE"
"AO02033248",2012-12-09,30,"WEB"
"AO02204120",2015-01-23,36,"STORE"
"AO02353055",2014-03-27,71,"STORE"
"AO02366640",2016-03-20,3,"STORE"
"AO02565286",2015-08-02,20,"STORE"
"AO02989951",2016-12-19,56,"STORE"
"AO03053248",2016-01-13,10,"WEB"
"AO03078305",2016-01-20,68,"PHONE"
"AO03097324",2016-01-23,64,"STORE"
"AO03483346",2018-07-02,39,"WEB"
"AO03676559",2014-09-16,48,"STORE"
"AO03795002",2018-09-23,30,"WEB"
